"","cs","means","sds","means_unif","sds_unif","means_beta5","sds_beta5","means_beta2","sds_beta2"
"49",0.58,529.535,260.165314301822,119.734,48.2850358671161,54.966,8.3658132199345,74.203,20.7063406603761
"50",0.59,548.055,274.011109378914,117.055,48.9152192438475,54.164,8.45367189856388,74.835,22.9847792044012
"51",0.6,535.978,269.514146922553,121.106,51.6867515354204,53.927,8.34897457035152,74.465,22.4586545938568
"52",0.61,567.369,287.244634970471,118.827,49.921470573534,53.38,8.33469058016355,73.822,23.1541017625048
"53",0.62,571.106,268.391678069304,117.825,47.522360523755,52.546,8.14851411499559,72.614,22.3381735600294
"54",0.63,566.396,292.90166364937,124.101,53.8389025373514,51.781,8.22317819700264,72.981,23.2066194476099
"55",0.64,583.98,288.805755421121,117.528,51.6038387348477,50.806,8.09035338028061,72.38,22.5621508427422
"56",0.65,589.885,303.030185077441,119.059,51.0190794258919,50.341,7.91943409824442,72.257,22.308487613902
"57",0.66,605.746,320.627324732883,118.583,52.0693799783647,50.036,8.41650411640971,72.88,23.7797198275143
"58",0.67,593.039,303.281551001999,121.828,53.7060402073617,49.676,8.1434230725991,71.555,23.4589705293795
"59",0.68,602.371,298.218422614343,118.741,48.5509950270653,49.108,8.7752687332834,73.38,25.6148730569121
"60",0.69,599.773,289.554660422471,123.628,58.6644452213871,48.647,7.85035152200327,71.601,23.6177814072067
"61",0.7,611.926,304.544932875496,116.745,48.881646764306,48.883,8.91037068284511,70.934,23.868710885998
"62",0.71,608.149,303.24062999321,118.885,48.202004192857,47.578,8.22651758592854,71.261,25.7174700790585
"63",0.72,642.275,343.407003051401,119.966,53.4837859482606,47.294,8.28638812922906,71.074,23.5363651502199
"64",0.73,628.702,298.632390240075,121.744,50.7907093882352,46.782,8.25546053401194,69.768,23.0460690204924
"65",0.74,624.281,337.54489863957,122.181,53.9246521278265,46.356,8.23802944454128,70.092,24.8131664490695
"66",0.75,637.979,316.955456366222,121.625,53.5171791433691,46.78,8.63772019749483,70.369,25.910001296163
"67",0.76,637.573,326.087929873231,122.53,56.0876717909286,45.559,7.82826933624545,71.378,24.7368758946846
"68",0.77,651.469,344.556224774754,126.219,56.4876968808155,44.699,8.00127611193486,70.558,24.6274063828318
"69",0.78,672.883,346.944664047325,123.802,55.6167962402009,44.772,7.92482295189103,70.269,25.242024459199
"70",0.79,671.839,348.739855143581,120.116,52.2698448503598,44.101,7.9207030329723,70.984,26.4952399827166
"71",0.8,686.15,359.038722569453,125.104,57.3282802438353,44.49,8.65972810721508,70.177,25.6600879014689
"72",0.81,686.186,342.508130156385,120.952,52.7234051769558,43.965,8.5759735495349,70.83,25.4396595157301
"73",0.82,691.569,353.819546535392,126.324,56.4563933345759,43.649,8.54346474153138,70.016,26.0812955578893
"74",0.83,690.332,335.299334057525,126.197,59.1716949265481,42.551,7.90644742668355,69.53,25.3173867148659
"75",0.84,715.384,369.784925916992,126.294,59.4307460627711,42.972,9.00045688974867,70.192,26.1238893274641
"76",0.85,696.13,379.036734296224,124.945,56.1178865620596,42.604,8.88212114734291,70.089,29.02170460773
"77",0.86,704.282,363.048984354785,130.603,60.145880307116,41.949,7.78929214191329,69.933,27.5236273238296
"78",0.87,725.586,376.421827204529,130.576,61.9241861377994,41.949,8.26854084876937,70.402,27.0674165934069
